buildname,executiontime_ms
pypy3_7,20786
pypy3_8,20171
pypy3_9,19530
python3_10,30494
python3_11,28106
python3_7,32841
python3_8,33964
python3_9,35283
r_rjson,279313
rust_serde,8631
rust_serde_rayon_2thread,10207
rust_serde_rayon_3thread,10785
rust_serde_rayon_4thread,10314
pypy3_7,21273
pypy3_8,20418
pypy3_9,19870
python3_10,31002
python3_11,28592
python3_7,32965
python3_8,34606
python3_9,35908
r_rjson,289806
rust_serde,8670
rust_serde_rayon_2thread,10299
rust_serde_rayon_3thread,10135
rust_serde_rayon_4thread,10442
pypy3_7,20969
pypy3_8,20249
pypy3_9,19371
python3_10,30778
python3_11,29724
python3_7,32916
python3_8,33771
python3_9,35095
r_rjson,291905
rust_serde,8393
rust_serde_rayon_2thread,9939
rust_serde_rayon_3thread,10266
rust_serde_rayon_4thread,10142
pypy3_7,21075
pypy3_8,19602
pypy3_9,19372
python3_10,29865
python3_11,28143
python3_7,31978
python3_8,33820
python3_9,34692
r_rjson,280781
rust_serde,8095
rust_serde_rayon_2thread,9929
rust_serde_rayon_3thread,9853
rust_serde_rayon_4thread,10429
pypy3_7,20540
pypy3_8,19917
pypy3_9,19258
python3_10,30026
python3_11,28509
python3_7,31903
python3_8,33861
python3_9,35298
r_rjson,282868
rust_serde,8599
rust_serde_rayon_2thread,9912
rust_serde_rayon_3thread,10289
rust_serde_rayon_4thread,10287
pypy3_7,21295
pypy3_8,20106
pypy3_9,19174
python3_10,29676
python3_11,28938
python3_7,33269
python3_8,34559
python3_9,35897
r_rjson,279024
rust_serde,8401
rust_serde_rayon_2thread,9949
rust_serde_rayon_3thread,9838
rust_serde_rayon_4thread,10375
pypy3_7,20485
pypy3_8,19334
pypy3_9,19290
python3_10,29969
python3_11,27588
python3_7,32920
python3_8,33785
python3_9,35052
r_rjson,270957
rust_serde,8305
rust_serde_rayon_2thread,10045
rust_serde_rayon_3thread,10037
rust_serde_rayon_4thread,10344
pypy3_7,21192
pypy3_8,19640
pypy3_9,18254
python3_10,29825
python3_11,28735
python3_7,32716
python3_8,32903
python3_9,35004
r_rjson,277658
rust_serde,8052
rust_serde_rayon_2thread,9914
rust_serde_rayon_3thread,9945
rust_serde_rayon_4thread,10253
pypy3_7,20625
pypy3_8,20098
pypy3_9,18858
python3_10,29932
python3_11,27607
python3_7,31733
python3_8,33153
python3_9,35256
r_rjson,279698
rust_serde,8225
rust_serde_rayon_2thread,10246
rust_serde_rayon_3thread,9811
rust_serde_rayon_4thread,9836
pypy3_7,21017
pypy3_8,19290
pypy3_9,19019
python3_10,29769
python3_11,28565
python3_7,31617
python3_8,33853
python3_9,34239
r_rjson,275333
rust_serde,8592
rust_serde_rayon_2thread,10122
rust_serde_rayon_3thread,10127
rust_serde_rayon_4thread,10442
